Company,Rating
ICRA,A1+
ICRA,AAA (CE)
ICRA,A
ICRA,A+
ICRA,A1+
ICRA,AA
ICRA,AA-
ICRA,AA(CE)
ICRA,AA+
ICRA,AAA
ICRA,AAA (CE)
ICRA,AAA(CE)
ICRA,AAA(SO)
ICRA,D
A1+,none
AA,A
ACUITE,A1+
A,D
Bills Rediscounting,none
BRICKWORK,A+(SO)
BRICKWORK,AA(CE)
BRICKWORK,AA
BRICKWORKS,AA
BWR,A
BWR,A(CE)
BWR,A-(CE)
BWR,A+
BWR,A+ (SO)
BWR,A1+
BWR,A2+
BWR,AA
BWR,AA-
BWR,AA- (SO)
BWR,AAA(SO)
BWR,BB-
BWR,BB+(CE)
BWR,BBB
BWR,BBB+(CE)
BWR,C(CE)
BWR,D
BWR,D(CE)
CARE,A
CARE,A-(CE)
CARE,A+
CARE,A1+
CARE,AA
CARE,AA-
CARE,AA(CE)
CARE,AA-(CE)
CARE,AA+
CARE,AAA
CARE,AAA(CE)
CARE,BBB(CE)
CARE,BBB+(CE)
CARE,D
C,A
CARE,A
CARE,A-
CARE,A-(CE)
CARE,A(SO)
CARE,A-(SO)
CARE,A+
CARE,A+(CE)
CARE,A+(SO)
CARE,A1+
CARE,A1+
CARE,AA
CARE,AA-
CARE,AA
CARE,AA (CE)
CARE,AA(CE)
CARE,AA-(CE)
CARE,AA(SO)
CARE,AA+
CARE,AA+(CE)
CARE,AAA
CARE,AAA
CARE,AAA (CE)
CARE,AAA(CE)
CARE,AAA
CARE,B
CARE,B+
CARE,BB
CARE,BB-
CARE,BB(CE)
CARE,BB+
CARE,BBB
CARE,BBB-
CARE,BBB(CE)
CARE,BBB+
CARE,BBB+(CE)
CARE,C
CARE,D
CARE,D
CARE,D (LT)
CARE,D (LT)
CARE,A
CARE,A-
CARE,A+
CARE,A1+
CARE,A1+ 
CARE,AA
CARE,AA-
CARE,AA (CE)
CARE,AA+
CARE,AAA
CARE,AAA
CARE,AAA(SO)
CARE,B+
CARE,BB-
CARE,BBB
CARE,BBB+
CARE,D
Cash,none
CRISIL,A
CRISIL,A1+
CRISIL,A1+(SO)
CRISIL,AA
CRISIL,AA-
CRISIL,AA(CE)
CRISIL,AA-(CE)
CRISIL,AA(SO)
